Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Roddery Muñoz","STL",,,,,,,,,,,62.57512283325195,14.04161262512207,,,2.0126230716705322,5.503511905670166,0.16238412261009216,0.6894131302833557,13.445561408996582,,,2.443087548360506,,0.21487071539317396,0.0879504770663533,0.12692023832682064,0.2525058686009612,,0.2943940948510868,,,,,,,999,,,,,,,-52.951108896732336,,-17.85175222158432,,,,,,,,,,,,,,,,,,,,"Roddery Munoz","25311",682610
"Daniel Bard",,,,,,,,,,,,73.53398132324219,15.315887451171875,,,1.9995670318603516,8.229471206665039,0.19885802268981934,0.9988802075386047,16.21027374267578,,,1.9697831532051657,,0.2204460230627025,0.11191385341274751,0.10853216964995499,0.24128319210291546,,0.28933194563099746,,,,,,,999,,,,,,,-59.68048862218858,,-21.25887817144394,,,,,,,,,,,,,,,,,,,,"Daniel Bard","7115",453268
"Enyel De Los Santos","ATL",,,,,,,,,,,138.84938049316406,29.616497039794922,,,4.268777370452881,11.218900680541992,0.43910175561904913,1.636948823928833,34.03008270263672,,,3.0332813946430894,,0.245086312821627,0.08079906903937774,0.16428724378224924,0.23830873873021052,,0.2895138344885196,,,,,,,999,,,,,,,-100.01623706817627,,-26.00148892402649,,,,,,,,,,,,,,,,,,,,"Enyel De Los Santos","18403",660853
"Hunter Harvey","KCR",,,,,,,,,,,137.88902282714844,28.8447208404541,,,3.574054002761841,9.204574584960938,0.3442847728729248,1.4470152854919434,38.000404357910156,,,4.128425926386409,,0.2755868710850593,0.066753497821936,0.2088333732631233,0.2293788336886396,,0.29546983204343746,,,,,,,709.6199951171875,,,,,,,-74.91109931468964,,-2.4166629314422607,,,,,,,,,,,,,,,,,,,,"Hunter Harvey","15507",640451
"Calvin Faucher","MIA",,,,,,,,,,,160.90676879882812,34.36483383178711,,,3.8874998092651367,14.862998962402344,0.4755114018917084,1.5952836275100708,38.48051834106445,,,2.5890144000147837,,0.23914791545639877,0.09237025311834234,0.14677766233805645,0.2406953320062389,,0.2990411290775272,,,,,,,299.3699951171875,,,,,,,-109.578626704216,,-22.951308608055115,,,,,,,,,,,,,,,,,,,,"Calvin Faucher","20116",676534
"Randy Vásquez","SDP",,,,,,,,,,,212.8948516845703,51.17485809326172,,,6.629811763763428,15.133269309997559,0.20642030239105225,2.953636646270752,37.8253059387207,,,2.4994801297649545,,0.1776713041176003,0.07108330328447464,0.10658800083312565,0.2662220603589359,,0.29666690156806663,,,,,,,695.4099731445312,,,,,,,-193.21142172813416,,-64.79765892028809,,,,,,,,,,,,,,,,,,,,"Randy Vasquez","24719",681190
"Seth Johnson","PHI",,,,,,,,,,,51.714046478271484,11.839179992675781,,,1.618161678314209,4.870837211608887,0.14500963687896729,0.45483845472335815,9.959088325500488,,,2.0446358383245786,,0.19257994691413222,0.09418789561662806,0.09839205129750415,0.2588480715774047,,0.2940540415517827,,,,,,,999,,,,,,,-46.744106972217565,,-17.094952166080475,,,,,,,,,,,,,,,,,,,,"Seth Johnson","26020",686751
"Yariel Rodríguez","TOR",,,,,,,,,,,266.1760559082031,54.9188117980957,,,7.375397682189941,24.99528694152832,0.37047895789146423,2.829164505004883,68.11249542236328,,,2.7250135428210687,,0.25589264665433853,0.09390509171173726,0.16198755494260125,0.23341408212595477,,0.2923853544440438,,,,,,,600.9400024414062,,,,,,,-180.75466566085817,,-43.128533363342285,,,,,,,,,,,,,,,,,,,,"Yariel Rodriguez","33838",684320
"Reed Garrett","NYM",,,,,,,,,,,167.11444091796875,33.30961990356445,,,4.03678035736084,14.98548412322998,0.478596955537796,1.542693018913269,44.81698226928711,,,2.9906929866759104,,0.2681813853016231,0.08967198789592269,0.17850939740570043,0.22372793624953805,,0.2882258323253794,,,,,,,744.1500244140625,,,,,,,-96.20797703266143,,-12.428711533546448,,,,,,,,,,,,,,,,,,,,"Reed Garrett","16866",657585
"Sam Moll","CIN",,,,,,,,,,,135.38499450683594,30.050273895263672,,,3.8946709632873535,15.371296882629395,2.3857719898223877,1.1881073713302612,28.400440216064453,,,1.8476281105570782,,0.20977539142737447,0.11353767039413853,0.09623772103323594,0.25499842291022007,,0.30118206642196965,,,,,,,999,,,,,,,-118.91249730587006,,-43.50805485248566,,,,,,,,,,,,,,,,,,,,"Sam Moll","14874",594580
"Garrett Whitlock","BOS",,,,,,,,,,,166.85411071777344,36.778053283691406,,,4.495205879211426,8.716410636901855,0.43787452578544617,1.563676118850708,42.75791549682617,,,4.905449878164983,,0.2562592873072774,0.05223971168229286,0.20401957562498452,0.2377754772528694,,0.2957716682622165,,,,,,,541.22998046875,,,,,,,-96.23840012550355,,-3.762105703353882,,,,,,,,,,,,,,,,,,,,"Garrett Whitlock","20191",676477
"Jameson Taillon","CHC",,,,,,,,,,,361.0946960449219,87.93842315673828,,,12.97549057006836,17.4356632232666,0.0705186054110527,2.72284197807312,69.8689193725586,,,4.007241851249094,,0.1934919569238607,0.04828557000210693,0.14520638692175378,0.26168829340745015,,0.290827464854425,,,,,,,341.82000732421875,,,,,,,-308.9761110782623,,-89.41905426979065,,,,,,,,,,,,,,,,,,,,"Jameson Taillon","11674",592791
"Eduardo Salazar","WSN",,,,,,,,,,,136.2454071044922,32.26380920410156,,,3.337428092956543,10.824519157409668,0.37705284357070923,2.037057638168335,24.14566993713379,,,2.230645960897528,,0.17722190017470082,0.07944869032618398,0.09777320984851684,0.264418610162249,,0.30206710428963396,,,,,,,999,,,,,,,-115.22965998649599,,-33.67995572090149,,,,,,,,,,,,,,,,,,,,"Eduardo Salazar","23135",674285
"Ty Madden","DET",,,,,,,,,,,50.62002182006836,11.143561363220215,,,1.4602032899856567,3.5883936882019043,0.13472317159175873,0.4597368836402893,11.837112426757812,,,3.29872178341982,,0.23384249949226568,0.07088882144217651,0.16295367805008917,0.24247320418440535,,0.29145366632851766,,,,,,,999,,,,,,,-35.4039268732071,,-7.452809631824493,,,,,,,,,,,,,,,,,,,,"Ty Madden","30140",680744
"Franco Aleman","CLE",,,,,,,,,,,50.27877426147461,10.95892333984375,,,1.3308719396591187,4.1598405838012695,0.14186924695968628,0.6213580965995789,11.585766792297363,,,2.785146824475247,,0.23043057358649235,0.08273552100073148,0.14769505258576088,0.2438520394737959,,0.2959723531905924,,,,,,,999,,,,,,,-36.03498799800873,,-8.473397672176361,,,,,,,,,,,,,,,,,,,,"Franco Aleman","sa3018178",680916
"Taylor Rogers","CIN",,,,,,,,,,,161.95924377441406,36.741512298583984,,,5.282400131225586,17.11524200439453,1.6745891571044922,1.344301700592041,35.392879486083984,,,2.0679158072667896,,0.21852954274953998,0.10567622820117388,0.1128533145483661,0.25840450687163674,,0.30511554990850837,,,,,,,493.0799865722656,,,,,,,-145.0943257331848,,-53.264073848724365,,,,,,,,,,,,,,,,,,,,"Taylor Rogers","13449",573124
